   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
    8300 -3.90191337E-05  7.07316907E-06  2.66930988E+00  2.66930988E+00  0.00000000E+00
    8400 -4.92316664E-05  8.03978403E-06  2.66919233E+00  2.66919233E+00  0.00000000E+00
    8500 -4.93252333E-05  1.01529243E-05  2.66909082E+00  2.66909082E+00  0.00000000E+00
    8600 -4.85584878E-05  4.67122873E-06  2.66900077E+00  2.66900077E+00  0.00000000E+00
    8700 -4.60025320E-05  1.06828757E-05  2.66892358E+00  2.66892358E+00  0.00000000E+00
    8800 -4.13792785E-05  1.02525669E-05  2.66885663E+00  2.66885663E+00  0.00000000E+00
    8900 -4.79731832E-05  1.12532113E-05  2.66880169E+00  2.66880169E+00  0.00000000E+00
    9000 -5.15079449E-05  5.76518984E-06  2.66875811E+00  2.66875812E+00  0.00000000E+00
    9100 -5.29262299E-05  1.11647671E-06  2.66872546E+00  2.66872546E+00  0.00000000E+00
    9200 -4.96737099E-05  2.01511220E-06  2.66870396E+00  2.66870396E+00  0.00000000E+00
    9300 -4.85809360E-05 -4.13420366E-06  2.66868923E+00  2.66868923E+00  0.00000000E+00
    9400 -4.82021692E-05 -7.21012788E-06  2.66868318E+00  2.66868318E+00  0.00000000E+00
    9500 -4.43005152E-05 -4.91759281E-06  2.66868430E+00  2.66868430E+00  0.00000000E+00
    9600 -4.65809592E-05 -5.45573359E-06  2.66869289E+00  2.66869289E+00  0.00000000E+00
    9700 -4.49521409E-05 -6.97188279E-06  2.66870750E+00  2.66870750E+00  0.00000000E+00
    9800 -5.56040171E-05 -3.43618133E-06  2.66872877E+00  2.66872877E+00  0.00000000E+00
    9900 -5.77426785E-05 -8.89163846E-06  2.66875740E+00  2.66875740E+00  0.00000000E+00
   10000 -5.87951730E-05 -6.90915493E-06  2.66879039E+00  2.66879039E+00  0.00000000E+00
   10100 -6.76447547E-05 -1.09861328E-06  2.66882874E+00  2.66882874E+00  0.00000000E+00
   10200 -6.83661723E-05 -1.13152425E-05  2.66887069E+00  2.66887069E+00  0.00000000E+00
   10300 -6.29087600E-05 -1.66943466E-05  2.66891477E+00  2.66891478E+00  0.00000000E+00
   10400 -6.60727498E-05 -1.95229720E-05  2.66896230E+00  2.66896230E+00  0.00000000E+00
   10500 -7.05468903E-05 -1.63272238E-05  2.66901331E+00  2.66901331E+00  0.00000000E+00
   10600 -7.29091743E-05 -2.03140878E-05  2.66906667E+00  2.66906667E+00  0.00000000E+00
   10700 -6.91658202E-05 -2.19747586E-05  2.66912345E+00  2.66912345E+00  0.00000000E+00
